1	3 
2	2 
3	3 
4	2 
5	1 
6	2 
7	2 
8	3 
9	3 
10	3 
11	4 
12	1 
13	4 
14	1 
15	1 
16	4 
17	1 
18	2 
19	2 
20	2 
21	1 
22	4 
23	2 
24	1 
25	3 
26	2 
27	3 
28	1 
29	3 
30	1 
31	2 
32	1 
33	2 
34	2 
35	4 
36	4 
37	1 
38	2 
39	2 
40	2 
41	1 
42	4 
43	4 
44	1 
45	4 
46	3 
47	3 
48	1 
49	1 
50	1 
51	4 
52	1 
53	2 
54	3 
55	1 
56	3 
57	4 
58	3 
59	1 
60	1 
61	3 
62	4 
63	3 
64	2 
65	2 
66	4 
67	4 
68	3 
69	4 
70	1 
71	4 
72	2 
73	4 
74	2 
75	4 
76	4 
77	3 
78	3 
79	3 
80	2 
81	2 
82	1 
83	3 
84	3 
85	1 
86	4 
87	3 
88	3 
89	2 
90	2 
91	4 
92	3 
93	3 
94	4 
95	4 
96	2 
97	3 
98	1 
99	1 
100	1 
101	3 
102	1 
103	3 
104	4 
105	4 
106	2 
107	3 
108	1 
109	4 
110	4 
111	3 
112	2 
113	4 
114	2 
115	1 
116	1 
117	2 
118	4 
119	3 
120	2 
121	4 
122	4 
123	1 
124	1 
125	4 
126	3 
127	2 
128	2 
