1	797
1	1124
1	1336
1	1451
1	1465
1	1915
1	2198
1	2407
1	2607
1	2687
1	2756
1	2757
1	2897
1	2944
1	3115
2	453
2	633
2	639
2	755
2	820
2	829
2	1242
2	1700
2	1706
2	1920
2	2246
2	2443
2	2620
2	2850
2	3118
3	131
3	214
3	243
3	517
3	602
3	892
3	1163
3	1524
3	1691
3	1863
3	1977
3	1982
3	2492
3	2601
3	3081
4	39
4	78
4	173
4	272
4	409
4	966
4	1277
4	1482
4	1816
4	2585
4	2684
4	2730
4	2785
4	2818
4	2863
5	11
5	425
5	845
5	1315
5	1575
5	1726
5	1740
5	2453
5	2505
5	2702
5	2779
5	2904
5	3110
5	3132
5	3155
6	287
6	474
6	839
6	997
6	1250
6	1846
6	2158
6	2426
6	2652
6	2681
6	2872
6	2994
6	3053
6	3089
6	3177
7	22
7	104
7	1055
7	1078
7	1780
7	1832
7	1902
7	2095
7	2133
7	2299
7	2487
7	2621
7	2916
7	2969
7	3079
8	236
8	464
8	625
8	672
8	1114
8	1656
8	1799
8	1877
8	2176
8	2613
8	2727
8	2813
8	2963
8	3091
8	3107
9	718
9	1016
9	1316
9	1393
9	1399
9	1447
9	1480
9	2208
9	2264
9	2285
9	2465
9	2544
9	2944
9	3139
9	3181
10	265
10	855
10	927
10	1177
10	1413
10	1805
10	1904
10	2630
10	2704
10	2824
10	2846
10	2857
10	2902
10	2957
10	3095
11	5
11	253
11	397
11	729
11	778
11	1430
11	1490
11	1617
11	2215
11	2252
11	2453
11	2474
11	2597
11	2779
11	3110
12	135
12	566
12	1434
12	2061
12	2109
12	2283
12	2423
12	2604
12	2649
12	2675
12	2698
12	2738
12	2775
12	2888
12	2986
13	250
13	530
13	727
13	730
13	773
13	937
13	1188
13	1244
13	1408
13	1684
13	1705
13	1858
13	2063
13	2518
13	2550
14	247
14	405
14	563
14	574
14	826
14	1306
14	1556
14	1888
14	2115
14	2202
14	2485
14	2820
14	2838
14	2845
14	3092
15	251
15	480
15	798
15	1053
15	1134
15	1449
15	1676
15	2266
15	2438
15	2450
15	2467
15	2587
15	2833
15	3010
15	3180
16	295
16	856
16	887
16	970
16	989
16	1308
16	1397
16	1523
16	1609
16	2398
16	2444
16	2656
16	2685
16	2711
16	2900
17	59
17	81
17	212
17	552
17	702
17	962
17	1636
